"name","value","description"
"participantId","string","The identification code for the participant. Where the participant comes from Prolific this is the sha1 hash of their Prolific ID. Where they do not, this is the sha1 hash of their starting timestamp plus a random decimal portion"
"advisorId","int","The individual identification number of the advisor the questionnaire is about"
"afterTrial","int","The trial id of the trial immediately preceding the questionnaire. Used to derive the timepoint variable"
"timeStart","int","Timestamp of the start of the questionnaire presentation"
"timeResponseStart","int","Timestamp of the first interaction with the sliders in the questionnaire"
"timeEnd","int","Timestamp of the submission of the questionnaire responses"
"duration","int","Duration of the questionnaire exposure (ms)"
"likeability","int","Extent to which the participant endorsed likeable over unlikeable [0,100]"
"ability","int","Extent to which the participant endorsed competent over incompetent [0,100]"
"benevolence","int","Extent to which the participant endorsed trying to help over not trying to help [0,100]"
"pid","int","A shorthand integer used for identifying a particular participant"
"adviceType","int","Advice profile of the advisor, retrieved via advisorId"
"timepoint","int","Whether the questionnaire is before (1) or after (2) the advisor has been providing advice"
"advisorName","string","Name of the advisor, retrieved via advisorId"
"advisorPortrait","int","Number of the advisor portrait"
"advisorAge","double","Age of the advisor"
"advisorCategory","string","Whether the advisor is predominantly rated as black (b) or white (w) by independent raters in the Chicago Face Database"
